system;indexSystem;indexItem;nMax;time;item
P;P;84;1000;4.88656808187;70
P;P;85;1000;0.844599023234;51
P;P;86;1000;1.39395401107;82
P;P;87;1000;0.94794418556;47
P;P;88;1000;1.0342703383;70
P;P;89;1000;1.12755300305;41
P;P;90;1000;1.13628736291;37
P;P;91;1000;4.00240576263;10
P;P;92;1000;4.5385796717;47
P;P;93;1000;1.26033225369;82
P;P;94;1000;1.96248605735;51
P;P;95;1000;1.1237864474;41
P;P;96;1000;1.08141806109;10
P;P;97;1000;1.10548501751;82
P;P;98;1000;9.59315554233;47
P;P;99;1000;12.824188994;51
P;P;100;1000;0.785337116994;70
P;P;101;1000;0.75360362903;37
P;P;102;1000;0.832728821522;82
P;P;103;1000;1.04982172538;41
P;P;104;1000;0.804172227787;10
P;P;105;1000;1.10644368384;51
P;P;106;1000;6.19443712292;47
P;P;107;1000;0.824412449507;10
P;P;108;1000;0.968695229481;41
P;P;109;1000;1.39586341314;37
P;P;110;1000;0.897634963191;47
P;P;111;1000;0.889907319592;10
P;P;112;1000;0.805785399629;41
P;P;113;1000;0.825038498267;37
P;P;114;1000;1.02963515166;47
P;P;115;1000;1.2872453528;10
P;P;116;1000;0.968328557107;41
P;P;117;1000;1.04703856078;37
P;P;118;1000;2.28372791044;47
P;P;119;1000;0.96876473862;10
P;P;120;1000;7.26895791805;82
P;P;121;1000;0.647332085279;37
P;P;122;1000;0.694000708153;47
P;P;123;1000;0.675866286808;41
P;P;124;1000;1.06028728267;51
P;P;125;1000;0.997219167915;10
P;P;126;1000;0.97116676922;10
P;P;127;1000;4.34003404548;82
P;P;128;1000;1.11480997181;50
P;P;129;1000;1.0293249263;04
P;P;130;1000;0.906065162252;51
P;P;131;1000;0.69407861437;10
P;P;132;1000;1.67717996289;78
P;P;133;1000;0.974580647629;50
P;P;134;1000;0.969716407376;10
P;P;135;1000;4.42492709704;51
P;P;136;1000;3.3956852085;82
P;P;137;1000;0.868373014966;50
P;P;138;1000;0.75738604583;04
P;P;139;1000;0.825866543385;78
P;P;140;1000;0.85579699226;66
P;P;141;1000;1.41929079218;50
P;P;142;1000;3.05665741278;51
P;P;143;1000;0.811867216084;78
P;P;144;1000;5.70277518738;66
P;P;145;1000;2.13355038223;10
P;P;146;1000;0.953218016582;50
P;P;147;1000;0.913581945911;51
P;P;148;1000;1.14750352561;82
P;P;149;1000;0.778118896083;66
P;P;150;1000;0.718911570846;78
P;P;151;1000;3.05042724796;70
P;P;152;1000;0.848198103847;82
P;P;153;1000;0.726378438545;51
P;P;154;1000;0.798351653734;50
P;P;155;1000;0.84644638023;10
P;P;156;1000;0.805128561585;82
P;P;157;1000;0.867772157438;87
P;P;158;1000;1.19276050649;85
P;P;159;1000;1.0104450311;70
P;P;160;1000;0.853865664491;45
P;P;161;1000;0.911325931154;10
P;P;162;1000;3.24252858388;82
P;P;163;1000;0.735284938489;85
P;P;164;1000;1.00985630268;87
P;P;165;1000;0.771456281783;10
P;P;166;1000;0.766294878296;70
P;P;167;1000;0.793530331876;45
P;P;168;1000;0.837392931434;82
P;P;169;1000;1.76261322642;87
P;P;170;1000;1.77679962194;04
P;P;171;1000;1.02616249371;56
P;P;172;1000;0.969704278264;97
P;P;173;1000;2.73568613218;87
P;P;174;1000;0.747350605499;40
P;P;175;1000;0.807427028232;04
P;P;176;1000;1.58506869042;97
P;P;177;1000;0.859761345734;56
P;P;178;1000;2.54192450748;87
P;P;179;1000;0.829523937035;10
P;P;180;1000;0.731372833496;04
P;P;181;1000;0.769269309662;56
P;P;182;1000;0.79308295426;97
P;P;183;1000;5.56016295928;82
P;P;184;1000;2.6383560762;87
P;P;185;1000;0.635570579067;10
P;P;186;1000;0.916629151946;12
P;P;187;1000;1.72796501964;87
P;P;188;1000;0.833486890996;87
P;P;189;1000;1.31382396834;82
