 The United States national debt is zero for the only time.,
 The French Academy of Sciences announces the Daguerreotype photography process.,
 John D. Rockefeller incorporates Standard Oil.,
 American Civil War: CSS Alabama encounters and sinks the USS Hatteras off Galveston Lighthouse in Texas.,
 Sir Henry Campbell-Bannerman's cabinet (which included amongst its members H. H. Asquith David Lloyd George and Winston Churchill) embarks on sweeping social reforms after a Liberal landslide in the British general election.,
 Dr. William Brydon an assistant surgeon in the British East India Company Army during the First Anglo-Afghan War becomes famous for being the sole survivor of an army of 4500 men and 12000 camp followers when he reaches the safety of a garrison in Jalalabad Afghanistan.,
 The second Palmer Raid takes place with another 6000 suspected communists and anarchists arrested and held without trial. These raids take place in several U.S. cities.,
 Croatian nobles elect Ferdinand I of Austria as King of Croatia in the Parliament on Cetin.,
 At the Paris Peace Conference Emir Faisal I of Iraq signs an agreement with Zionist leader Chaim Weizmann on the development of a Jewish homeland in Palestine and an Arab nation in a large part of the Middle East.,
 The Oklahoma Land Run opens 2 million acres of unused Oklahoma Territory to first serve first come settlers on April 22.,
 First Balkan War: During the Battle of Lemnos Greek admiral Pavlos Kountouriotis forces the Turkish fleet to retreat to its base within the Dardanelles from which it did not venture for the rest of the war.,
 Alfred Vail demonstrates a telegraph system using dots and dashes (this is the forerunner of Morse code).,
 American Civil War: Second Battle of Springfield,
 The Fort Tejon earthquake strikes California registering an estimated magnitude of 7.9.,
 The first great Texas oil gusher is discovered at Spindletop in Beaumont Texas.,
 The Anglo-Zulu War begins.,
 A long-distance radio message is sent from the Eiffel Tower for the first time.,
 The Treaty of Cahuenga ends the Mexican,American War in California.
 Angered by the anti-clerical provisions of the Mexican Constitution of 1917 Catholic rebels in Mexico rebelled against the government.,
 Scotland begins its numbered year on January 1 instead of March 25.,
 Benito Mussolini announces he is taking dictatorial powers over Italy.,
 Utah is admitted as the 45th U.S. state.,
" The Ford Motor Company announces an eight-hour workday and that it would pay a ""living wage"" of at least $5 for a day's labor.",
 The most damaging storm in 300 years sweeps across Ireland damaging or destroying more than 20% of the houses in Dublin.,
 African American men are granted the right to vote in Washington D.C.,
 Anson Jones the last President of the Republic of Texas commits suicide.,
 World War I: In the Erzurum Offensive Russia defeats the Ottoman Empire.,
 Grand Canyon National Monument is created.,
 The University of the Philippines College of Law is formally established; three future Philippine presidents are among the first enrollees.,
 National convention of black leaders meets in Washington D.C.,
 Bruno Hauptmann goes on trial for the murder of Charles Lindbergh Jr. infant son of aviator Charles Lindbergh.,
 Charles II is crowned King of Scotland.,
 Martial law is declared in Honduras to stop a revolt by banana workers fired by the United Fruit Company.,
 Topsy an elephant is electrocuted by the owners of Luna Park Coney Island. Thomas Edison's movie company shoots the film Electrocuting an Elephant of the execution.,
 The German Workers' Party which would become the Nazi Party is founded.,
 President-elect of the United States Franklin Pierce and his family are involved in a train wreck near Andover Massachusetts. Pierce's 11-year-old son Benjamin is killed in the crash.,
 Crazy Horse and his warriors fight their last battle against the United States Cavalry at Wolf Mountain Montana Territory.,
" American Civil War: The ""Star of the West"" incident occurs near Charleston South Carolina. It is considered by some historians to be the ""First Shots of the American Civil War"".",
 The Treaty of Versailles takes effect officially ending World War I.,
 Immigrant textile works in Lawrence Massachusetts go on strike when wages are reduced in response to a mandated shortening of the work week.,
 The United States House of Representatives rejects a proposal to give women the right to vote.,
 The Independent Labour Party of the United Kingdom holds its first meeting.,
 World War II: German bombing severely damages the Llandaff Cathedral in Cardiff Wales United Kingdom.,
 Russia begins using the Anno Domini era and no longer uses the Anno Mundi era of the Byzantine Empire.,
 Minnie D. Craig becomes the first female elected as Speaker of the North Dakota House of Representatives the first female to hold a Speaker position anywhere in the United States.,
 The Scout Association is incorporated throughout the British Empire by royal charter.,
 Nellie Tayloe Ross of Wyoming becomes the first female governor in the United States.,
 The inauguration of the Musikverein in Vienna Austria.,
 Herman Hollerith is issued US patent #395791 for the 'Art of Applying Statistics' — his punched card calculator.,
 Mississippi becomes the second state to secede from the Union before the outbreak of the American Civil War.,
 Arthur Griffith is elected President of the Dáil Éireann.,
 The Kingsland munitions factory explosion occurs as a result of sabotage.,
" Finland's ""Mosaic Confessors"" law goes into effect making Finnish Jews full citizens.",
 U.S. Marines land in Honolulu Hawaii from the USS Boston to prevent the queen from abrogating the Bayonet Constitution.,
 The Federal Bureau of Investigation (FBI) convicts 33 members of a German spy ring headed by Fritz Joubert Duquesne in the largest espionage case in United States history—the Duquesne Spy Ring.,
 John V is crowned King of Portugal.,
 The March of Dimes is established by President Franklin D. Roosevelt.,
 World War II: Operation Carpetbagger involving the dropping of arms and supplies to resistance fighters in Europe begins.,
 Construction of the Golden Gate Bridge begins in San Francisco Bay.,
 The Washington National Cathedral is chartered by Congress. The charter is signed by President Benjamin Harrison.,
 The Blackstone Library is dedicated marking the beginning of the Chicago Public Library system.,
 American Civil War: the Battle of Fort Hindman begins in Arkansas.,
 Lithuania seizes and annexes Memel.,
 Romania reincorporates Transylvania.,
 Acting to restore confidence in baseball after the Black Sox Scandal Judge Kenesaw Mountain Landis is elected as Major League Baseball's first commissioner.,
 First Italo-Ethiopian War: the war's opening battle the Battle of Coatit occurs; it is an Italian victory.,
 World War II: Manila Philippines is captured by Japanese forces.,
 Bouvet Island is discovered by French explorer Jean-Baptiste Charles Bouvet de Lozier.,
" World War II: Top Ace Major Greg ""Pappy"" Boyington is shot down in his Vought F4U Corsair by Captain Masajiro Kawato flying a Mitsubishi A6M Zero.",
 Burma gains its independence from the United Kingdom.,
 The Daily Mail becomes the first transoceanic newspaper.,
 Second Boer War: Having already sieged the fortress at Ladysmith Boer forces attack it but are driven back by British defenders.,
 A landslide in Haverstraw New York caused by the excavation of clay along the Hudson River kills 20 people.,
 Umberto I becomes King of Italy.,
 Fritz Lang's futuristic film Metropolis is released in Germany.,
 First use of insulin to treat diabetes in a human patient.,
 Original Sam 'n' Henry aired on Chicago radio later renamed Amos 'n' Andy in 1928.,
 Émile Zola's J'accuse exposes the Dreyfus affair.,
 World War II: Nuremberg Germany (in German Nürnberg) is severely bombed by Allied forces.,
 The first traveler's cheques which can be used in 90 European cities go on sale in London England.,
 World War II: Admiral Chester W. Nimitz is placed in command of all U.S. Naval forces in preparation for planned assaults against Iwo Jima and Okinawa in Japan.,
 Korean War: Chinese and North Korean forces capture Seoul.,
 The Soviet Union recognizes the new pro-Soviet government of Poland.,
 Maria Montessori opens her first school and daycare center for working class children in Rome Italy.,
 The African National Congress is founded.,
 The Great Gale of 1880 devastates parts of Oregon and Washington with high winds and heavy snow.,
 The Adventures of Tintin one of the most popular European comic books is first published in Belgium.,
 Occupation of the Ruhr: Troops from France and Belgium occupy the Ruhr area to force Germany to make its World War I reparation payments.,
 Hattie Caraway becomes the first woman elected to the United States Senate.,
 The Rhoads Opera House Fire in Boyertown Pennsylvania kills 171 people.,
 Luis Muñoz Marín becomes the first democratically elected Governor of Puerto Rico.,
" The hymn that became known as ""Amazing Grace"" then titled ""1 Chronicles 17:16","17"" is first used to accompany a sermon led by John Newton in the town of Olney England."
 Popular Canadian American jockey George Woolf dies in a freak accident during a race; the annual George Woolf Memorial Jockey Award is created to honor him.,
 The Greek National Radical Union is formed by Konstantinos Karamanlis.,
 United States President Harry S. Truman unveils his Fair Deal program.,
 New Mexico is admitted to the Union as the 47th U.S. state.,
" President Woodrow Wilson announces his ""Fourteen Points"" for the aftermath of World War I.",
 New England Telephone and Telegraph installs the first battery-operated telephone switchboard in Lexington Massachusetts.,
 World War II: The Greek army captures Kleisoura.,
 Louis B. Mayer head of film studio Metro-Goldwyn-Mayer (MGM) announces the creation of the Academy of Motion Picture Arts and Sciences at a banquet in Los Angeles California.,
 World War II: United States President Franklin D. Roosevelt creates the National War Labor Board.,
 The first public radio broadcast takes place; a live performance of the opera Cavalleria rusticana is sent out over the airwaves from the Metropolitan Opera House in New York New York.,
 Panamanian president José Antonio Remón Cantera is assassinated.,
 American Revolutionary War: Norfolk Virginia is burned by combined Royal Navy and Continental Army action.,
 Proceedings of the U.S. Congress are televised for the first time.,
 Sputnik 1 falls to Earth from orbit.,
 In a speech given to the United States Congress United States President Dwight D. Eisenhower announces the establishment of what will later be called the Eisenhower Doctrine.,
 German geophysicist Alfred Wegener first presents his theory of continental drift.,
 The steel strike of 1919 ends in a complete failure for the Amalgamated Association of Iron Steel and Tin Workers labor union.,
 Hallam Tennyson 2nd Baron Tennyson son of the poet Alfred Tennyson becomes the second Governor-General of Australia.,
 The first General Assembly of the United Nations opens in London. Fifty-one nations are represented.,
 Amelia Earhart becomes the first person to fly solo from Hawaii to California.,
 The Caves of Nerja are rediscovered in Spain.,
 Delta Sigma Theta Sorority Incorporated was founded on the campus of Howard University.,
 Luna 1 the first spacecraft to reach the vicinity of the Moon and to orbit the Sun is launched by the Soviet Union.,
 American Revolutionary War: One thousand five hundred soldiers of the 6th Pennsylvania Regiment under General Anthony Wayne's command rebel against the Continental Army's winter camp in Morristown New Jersey in the Pennsylvania Line Mutiny of 1781.,
 The Bangko Sentral ng Pilipinas the central bank of the Philippines is established.,
 Luna 1 becomes the first spacecraft to reach the vicinity of the Moon.,
" Alexander Dubček comes to power: ""Prague Spring"" begins in Czechoslovakia.",
 Formation of the Iraqi Army.,
 World War II: Britain introduces food rationing.,
 Ernest Shackleton leading the Nimrod Expedition to the South Pole plants the British flag 97 nautical miles (180 km; 112 mi) from the South Pole the farthest anyone had ever reached at that time.,
 The United States Army Signal Corps successfully conducts Project Diana bouncing radio waves off the Moon and receiving the reflected signals.,
 World War II: The Japanese capture Kuala Lumpur.,
 Vietnam War: Operation Chopper the first American combat mission in the war takes place.,
 An earthquake in Avezzano Italy kills 29800.,
 Vietnam War: The Viet Cong wins its first major victory in the Battle of Ap Bac.,
 First edition of The Times of London previously The Daily Universal Register is published.,
 Frances P. Bolton and her son Oliver from Ohio become the first mother and son to serve simultaneously in the U.S. Congress.,
" United States President Lyndon B. Johnson proclaims his ""Great Society"" during his State of the Union address.",
 The Troubles: The Royal Ulster Constabulary raid the Bogside area of Derry damaging property and beating residents. In response residents erect barricades and establish Free Derry.,
 King Alexander of the Serbs Croats and Slovenes suspends his country's constitution (the January 6th Dictatorship).,
 World War II: Philippine Commonwealth troops under the Philippine Commonwealth Army units enter the province of Ilocos Sur in Northern Luzon and attack Japanese Imperial forces.,
 Phi Beta Sigma Fraternity Inc. the first historically black intercollegiate Greek-letter fraternity to be officially recognized at Howard University is founded.,
 BOAC Flight 781 a de Havilland DH.106 Comet 1 explodes and falls into the Tyrrhenian Sea killing 35 people.,
 World War II: The United States and United Kingdom give up territorial rights in China.,
 Rebels in Zanzibar begin a revolt known as the Zanzibar Revolution and proclaim a republic.,
 The Candidate of Sciences degree is established in the Soviet Union.,
 Ronald Reagan sworn in as Governor of California,
 The Dutch East India Company is dissolved.,
 A fire damages the top part of the Eiffel Tower.,
 A military coup takes place in Upper Volta (later Burkina Faso) dissolving the National Parliament and leading to a new national constitution.,
 United States President Richard Nixon orders the development of a Space Shuttle program.,
 Mother Teresa arrives in Calcutta India to begin her work among India's poorest and sick people.,
 Operation Auca: Five U.S. missionaries are killed by the Huaorani of Ecuador shortly after making contact with them.,
 World War I: The Battle of Gallipoli concludes with an Ottoman Empire victory when the last Allied forces are evacuated from the peninsula.,
 Apollo program: NASA announces plans to build the C-5 rocket launch vehicle. It became better known as the Saturn V Moon rocket which launched every Apollo Moon mission.,
 Italian-American anarchist Carlo Tresca is assassinated in New York City.,
 Lyndon B. Johnson states that the United States should stay in South Vietnam until Communist aggression there is ended.,
 A plebiscite in Saarland shows that 90.3% of those voting wish to join Nazi Germany.,
 The second Ibrox disaster kills 66 fans at a Rangers-Celtic association football (soccer) match.,
 The legislative union of Kingdom of Great Britain and Kingdom of Ireland is completed to form the United Kingdom of Great Britain and Ireland.,
 The Hamilton Watch Company introduces the first electric watch.,
 A magnitude 7.7 earthquake strikes Tonghai County China killing at least 15000 people.,
 An earthquake in Lima Peru kills six people and damages hundreds of houses.,
 The first diesel-engined automobile trip is completed from Indianapolis Indiana to New York New York.,
 In France a referendum supports Charles de Gaulle's policies in Algeria.,
 World War I: the Battle of Rafa is fought near the Egyptian border with Palestine.,
 A by-poll is held in the Lebanese Chouf District.,
 Greek Civil War: Last day of the Dekemvriana clashes in Athens Greece.,
 Dr. James Bedford becomes the first person to be cryonically preserved with intent of future resuscitation.,
 The Black Friday bush fires burn 20000 square kilometers of land in Australia claiming the lives of 71 people.,
 United States President Richard Nixon signs a bill lowering the maximum U.S. speed limit to 55 MPH in order to conserve gasoline during an OPEC embargo.,
 The dwarf planet Ceres is discovered by Giuseppe Piazzi.,
 The West Indies Federation is formed.,
 Rose Heilbron becomes the first female judge to sit at the Old Bailey in London England.,
 Warmest reliably measured temperature in Antarctica of +59 °F (+15 °C) recorded at Vanda Station,
 Thomas Edison submits his last patent application.,
 The Harmelen train disaster killed 93 people in the Netherlands.,
 Battle of Bear Valley: The last battle of the American Indian Wars.,
 Sheikh Mujibur Rahman returns to the newly independent Bangladesh as president after spending over nine months in prison in Pakistan.,
 Enver Hoxha Secretary General of the Communist Party of Albania declares the People's Republic of Albania with himself as head of state.,
 The New York Jets of the American Football League defeat the Baltimore Colts of the National Football League to win Super Bowl III in what is considered to be one of the greatest upsets in sports history.,
 Henry Ford patents a plastic automobile which is 30% lighter than a regular car.,
 A bomb blast at Samastipur Bihar India fatally wounds Minister of Railways Lalit Narayan Mishra.,
 Emperor Gia Long orders all bronze wares of the Tây Sơn dynasty to be collected and melted into nine cannons for the Royal Citadel in Huế Vietnam.,
 Alaska is admitted as the 49th U.S. state.,
 United States President Richard Nixon refuses to hand over materials subpoenaed by the Senate Watergate Committee.,
 The Tasman Bridge in Tasmania Australia is struck by the bulk ore carrier Lake Illawarra killing twelve people.,
 United States President Franklin D. Roosevelt delivers his Four Freedoms speech in the State of the Union address.,
 Leonardo da Vinci's Mona Lisa is exhibited in the United States for the first time at the National Gallery of Art in Washington D.C.,
 Greco-Turkish War: The First Battle of İnönü the first battle of the war begins near Eskişehir in Anatolia.,
 Salvadoran Civil War: The FMLN launches its first major offensive gaining control of most of Morazán and Chalatenango departments,
" The first ""networked"" television broadcasts take place as KDKA-TV in Pittsburgh Pennsylvania goes on the air connecting the east coast and mid-west programming.",
 Biafra capitulates ending the Nigerian Civil War.,
 World War II: First use of an aircraft ejection seat by a German test pilot in a Heinkel He 280 jet fighter.,
 Bangladeshi Marxist leader Siraj Sikder is arrested and dies while in police custody.,
 French rule ends in Haiti. Haiti becomes the first black republic and second independent country in North America after the United States,
 Separatists in the Maldives declare the establishment of the United Suvadive Republic.,
 The Troubles: The Ulster Volunteer Force shoots dead six Irish Catholic civilians in County Armagh Northern Ireland. The next day gunmen shoot dead ten Protestant civilians nearby in retaliation.,
 The Khmer Rouge proclaim the Constitution of Democratic Kampuchea.,
 The first general election ever in Vietnam is held.,
" President Lyndon B. Johnson declares a ""War on Poverty"" in the United States.",
 Juan de la Cierva makes the first autogyro flight.,
 Holy See,United States relations: The United States and Holy See (Vatican City) re-establish full diplomatic relations after almost 117 years overturning the United States Congress's 1867 ban on public funding for such a diplomatic envoy.
 A record-setting snowstorm hits Los Angeles California.,
 The Harrisburg Seven: Reverend Philip Berrigan and five others are indicted on charges of conspiring to kidnap Henry Kissinger and of plotting to blow up the heating tunnels of federal buildings in Washington D.C.,
 First Indochina War: The Battle of Vĩnh Yên begins which will end in a major victory for France.,
 The Gale of January 1976 begins which results in coastal flooding around the southern North Sea coasts resulting in at least 82 deaths and US$1.3 billion in damage.,
 The French Republican Calendar is abolished.,
 The United States severs diplomatic relations with Cuba over the latter's nationalization of American assets.,
 The 1987 Maryland train collision: An Amtrak train en route to Boston from Washington D.C. collides with Conrail engines in Chase Maryland killing 16 people.,
 The Troubles: In response to the killing of six Catholics the night before gunmen shoot dead ten Protestant civilians after stopping their minibus at Kingsmill in County Armagh Northern Ireland UK.,
 Pan American Airlines becomes the first commercial airline to schedule a flight around the world.,
 Bowing to international pressure President of Pakistan Zulfikar Ali Bhutto releases Bengali leader Sheikh Mujibur Rahman from prison who had been arrested after declaring the independence of Bangladesh.,
 Lithuanian residents of the Memel Territory rebel against the League of Nations' decision to leave the area as a mandated region under French control.,
 Sir Clive Sinclair launches the Sinclair C5 personal electric vehicle which became a notorious commercial failure and later a cult collector's item.,
