answer;solution;correct;image;lociId;lociName;blocIndex;lociIndex;imageIndex;feat;nbRow;nbCol;memoTime;restiTime;sepSign;timestamp
39;39;True;P;4f18c18f-cb67-11e4-80d1-08002700d09f;etage bas;4;5;13;d;20;40;300;900;|;1426676055.0
05;05;True;A;4f18c18f-cb67-11e4-80d1-08002700d09f;etage bas;4;5;14;d;20;40;300;900;|;1426676055.0
40;40;True;Q;4f18c18f-cb67-11e4-80d1-08002700d09f;etage bas;4;5;15;d;20;40;300;900;|;1426676055.0
82;82;True;P;4f1936c0-cb67-11e4-8588-08002700d09f;chemin jonction;5;6;16;d;20;40;300;900;|;1426676055.0
88;88;True;A;4f1936c0-cb67-11e4-8588-08002700d09f;chemin jonction;5;6;17;d;20;40;300;900;|;1426676055.0
63;63;True;Q;4f1936c0-cb67-11e4-8588-08002700d09f;chemin jonction;5;6;18;d;20;40;300;900;|;1426676055.0
39;39;True;A;4f1936c0-cb67-11e4-8588-08002700d09f;chemin jonction;5;6;19;d;20;40;300;900;|;1426676055.0
00;00;True;Q;4f1936c0-cb67-11e4-8588-08002700d09f;chemin jonction;5;6;20;d;20;40;300;900;|;1426676055.0
06;06;True;P;4f19d300-cb67-11e4-8ea4-08002700d09f;ancienne cabane;0;7;21;d;20;40;300;900;|;1426676055.0
74;74;True;A;4f19d300-cb67-11e4-8ea4-08002700d09f;ancienne cabane;0;7;22;d;20;40;300;900;|;1426676055.0
88;85;False;Q;4f19d300-cb67-11e4-8ea4-08002700d09f;ancienne cabane;0;7;23;d;20;40;300;900;|;1426676055.0
13;13;True;P;4f1a6f40-cb67-11e4-9779-08002700d09f;roche ronde;1;8;24;d;20;40;300;900;|;1426676055.0
70;70;True;A;4f1a6f40-cb67-11e4-9779-08002700d09f;roche ronde;1;8;25;d;20;40;300;900;|;1426676055.0
52;52;True;Q;4f1a6f40-cb67-11e4-9779-08002700d09f;roche ronde;1;8;26;d;20;40;300;900;|;1426676055.0
23;23;True;P;4f1b0b80-cb67-11e4-bc56-08002700d09f;descente gendarmerie;2;9;27;d;20;40;300;900;|;1426676055.0
64;64;True;A;4f1b0b80-cb67-11e4-bc56-08002700d09f;descente gendarmerie;2;9;28;d;20;40;300;900;|;1426676055.0
26;26;True;Q;4f1b0b80-cb67-11e4-bc56-08002700d09f;descente gendarmerie;2;9;29;d;20;40;300;900;|;1426676055.0
96;96;True;P;4f1b80b0-cb67-11e4-acd9-08002700d09f;gendarmerie monument;3;10;30;d;20;40;300;900;|;1426676055.0
87;87;True;A;4f1b80b0-cb67-11e4-acd9-08002700d09f;gendarmerie monument;3;10;31;d;20;40;300;900;|;1426676055.0
35;35;True;Q;4f1b80b0-cb67-11e4-acd9-08002700d09f;gendarmerie monument;3;10;32;d;20;40;300;900;|;1426676055.0
80;80;True;P;4f1c1cf0-cb67-11e4-ae49-08002700d09f;gendarmerie entrée;4;11;33;d;20;40;300;900;|;1426676055.0
67;67;True;A;4f1c1cf0-cb67-11e4-ae49-08002700d09f;gendarmerie entrée;4;11;34;d;20;40;300;900;|;1426676055.0
40;40;True;Q;4f1c1cf0-cb67-11e4-ae49-08002700d09f;gendarmerie entrée;4;11;35;d;20;40;300;900;|;1426676055.0
11;11;True;P;4f1c9221-cb67-11e4-83d7-08002700d09f;gendarmerie interieur;5;12;36;d;20;40;300;900;|;1426676055.0
93;93;True;A;4f1c9221-cb67-11e4-83d7-08002700d09f;gendarmerie interieur;5;12;37;d;20;40;300;900;|;1426676055.0
14;14;True;Q;4f1c9221-cb67-11e4-83d7-08002700d09f;gendarmerie interieur;5;12;38;d;20;40;300;900;|;1426676055.0
27;27;True;A;4f1c9221-cb67-11e4-83d7-08002700d09f;gendarmerie interieur;5;12;39;d;20;40;300;900;|;1426676055.0
73;73;True;Q;4f1c9221-cb67-11e4-83d7-08002700d09f;gendarmerie interieur;5;12;40;d;20;40;300;900;|;1426676055.0
57;57;True;P;4f1d2e5e-cb67-11e4-b528-08002700d09f;sport 2000 parking;0;13;41;d;20;40;300;900;|;1426676055.0
04;04;True;A;4f1d2e5e-cb67-11e4-b528-08002700d09f;sport 2000 parking;0;13;42;d;20;40;300;900;|;1426676055.0
29;29;True;Q;4f1d2e5e-cb67-11e4-b528-08002700d09f;sport 2000 parking;0;13;43;d;20;40;300;900;|;1426676055.0
64;64;True;P;4f1da38f-cb67-11e4-b658-08002700d09f;sport 2000 caisse;1;14;44;d;20;40;300;900;|;1426676055.0
15;70;False;A;4f1da38f-cb67-11e4-b658-08002700d09f;sport 2000 caisse;1;14;45;d;20;40;300;900;|;1426676055.0
07;07;True;Q;4f1da38f-cb67-11e4-b658-08002700d09f;sport 2000 caisse;1;14;46;d;20;40;300;900;|;1426676055.0
85;85;True;P;4f1e66e1-cb67-11e4-9223-08002700d09f;sport 2000 cabines;2;15;47;d;20;40;300;900;|;1426676055.0
80;80;True;A;4f1e66e1-cb67-11e4-9223-08002700d09f;sport 2000 cabines;2;15;48;d;20;40;300;900;|;1426676055.0
48;48;True;Q;4f1e66e1-cb67-11e4-9223-08002700d09f;sport 2000 cabines;2;15;49;d;20;40;300;900;|;1426676055.0
